iter	Passed	Remaining
0	56	56824
1	57	28613
2	57	19193
3	58	14499
4	58	11666
5	59	9794
6	59	8444
7	59	7425
8	60	6639
9	60	6017
10	61	5497
11	61	5061
12	61	4694
13	62	4378
14	62	4106
15	62	3867
16	63	3659
17	63	3473
18	64	3304
19	64	3154
20	64	3018
21	65	2894
22	65	2783
23	65	2680
24	66	2586
25	66	2500
26	67	2417
27	67	2342
28	67	2272
29	68	2204
30	68	2142
31	68	2084
32	69	2028
33	69	1976
34	69	1926
35	70	1880
36	70	1836
37	70	1795
38	71	1755
39	71	1717
40	71	1681
41	72	1647
42	72	1613
43	72	1582
44	73	1551
45	73	1522
46	73	1496
47	74	1470
48	74	1445
49	74	1421
50	75	1397
51	75	1374
52	75	1353
53	76	1332
54	76	1312
55	76	1292
56	77	1274
57	77	1256
58	77	1240
59	78	1222
60	78	1206
61	78	1189
62	78	1174
63	79	1158
64	79	1144
65	79	1130
66	80	1116
67	80	1100
68	80	1086
69	80	1073
70	81	1061
71	81	1049
72	81	1037
73	82	1027
74	82	1018
75	82	1008
76	83	998
77	83	987
78	83	977
79	84	966
80	84	957
81	84	948
82	85	939
83	85	930
84	85	919
85	85	910
86	85	900
87	86	892
88	86	884
89	86	876
90	86	868
91	87	860
92	87	852
93	87	845
94	88	838
95	88	832
96	88	825
97	89	819
98	89	812
99	89	805
100	89	800
101	90	793
102	90	787
103	90	781
104	90	775
105	91	769
106	91	763
107	91	758
108	92	753
109	92	747
110	92	742
111	92	737
112	93	731
113	93	726
114	93	721
115	93	716
116	94	711
117	94	706
118	94	701
119	94	696
120	95	691
121	95	687
122	95	681
123	95	676
124	96	672
125	96	668
126	96	663
127	96	658
128	96	654
129	97	650
130	97	646
131	97	642
132	97	638
133	98	634
134	98	631
135	98	627
136	98	623
137	99	619
138	99	615
139	99	612
140	99	608
141	100	605
142	100	602
143	100	598
144	100	595
145	101	592
146	101	589
147	101	585
148	102	582
149	102	580
150	102	577
151	102	573
152	103	570
153	103	568
